userId,movieId,rating,timestamp
4,1,1.0,1295310485
8,1,2.0,1110053353
22,1,4.0,1585582861
3,1,3.5,1034126396
1,1,1.5,1249817734
17,1,3.5,1602632297
7,1,4.0,1585126461
14,1,2.0,1632719211
26,2,4.5,1171432881
23,2,2.5,1298362082
5,2,2.0,1361415646
4,2,1.5,1103848421
12,2,4.5,1648245888
26,3,1.0,1493303705
18,3,1.5,1406448196
3,3,3.0,1674996843
20,3,4.5,1388302652
19,3,2.0,1074684276
22,4,2.0,1310727955
3,4,4.5,1108449460
13,4,2.0,1682560971
6,5,2.5,1224956459
22,5,2.0,1695822698
3,5,3.5,1183758720
18,5,4.0,1175452091
15,5,2.5,1687194506
18,6,2.0,1348195935
27,6,4.0,1060062915
8,6,4.5,1338715135
13,6,2.0,1226541099
30,6,5.0,1337882805
7,6,3.5,1424806516
29,6,4.5,1492688426
5,6,2.0,1264814270
18,7,3.0,1627694430
14,7,4.5,1428853029
12,7,2.0,1148532577
17,7,3.0,1050590821
28,7,1.5,1673715057
6,7,4.0,1453290810
20,7,1.5,1409760584
20,7,5.0,1568132202
18,8,4.5,1012327652
22,8,4.0,1576567501
25,8,2.0,1688227492
11,8,1.5,1466825638
6,8,3.0,1282811832
25,9,1.5,1114257751
28,9,3.5,1686066793
17,9,3.5,1164109919
12,9,4.0,1579153816
25,9,4.5,1000614068
20,9,2.5,1020912992
4,9,4.5,1330190783
2,10,2.0,1609194872
3,10,1.5,1521828280
27,10,1.5,1571988889
25,10,1.5,1510330567
6,11,2.0,1651325257
14,11,5.0,1579064766
25,11,4.0,1215984311
23,11,2.0,1697801251
12,11,3.0,1555742829
15,11,1.5,1241266931
3,11,2.5,1631691672
8,12,3.5,1007721109
3,12,4.0,1063215224
8,12,1.5,1033729406
28,12,2.5,1552070932
8,12,2.0,1521209849
7,12,3.0,1613152854
19,12,3.0,1507850824
7,13,1.5,1462837684
12,13,2.5,1501463916
28,13,4.0,1693830224
4,13,1.0,1364323393
26,13,4.5,1266992705
7,13,2.0,1481695135
14,14,1.5,1496743109
8,14,4.5,1080943908
15,14,4.0,1590907304
4,14,1.0,1580451872
